id,kickoff_time_formatted,started,event_day,deadline_time,deadline_time_formatted,team_h_difficulty,team_a_difficulty,code,kickoff_time,team_h_score,team_a_score,finished,minutes,provisional_start_time,finished_provisional,event,team_a,team_h
145,02 Dec 15:00,1,1,2017-12-02T11:30:00Z,02 Dec 11:30,2,3,919037,2017-12-02T15:00:00Z,2,0,1,90,0,1,15,8,7
146,02 Dec 15:00,1,1,2017-12-02T11:30:00Z,02 Dec 11:30,3,3,919038,2017-12-02T15:00:00Z,1,0,1,90,0,1,15,4,9
147,03 Dec 16:00,1,2,2017-12-02T11:30:00Z,02 Dec 11:30,2,5,919039,2017-12-03T16:00:00Z,2,1,1,90,0,1,15,20,11
148,02 Dec 15:00,1,1,2017-12-02T11:30:00Z,02 Dec 11:30,2,2,919040,2017-12-02T15:00:00Z,2,1,1,90,0,1,15,16,15
149,02 Dec 15:00,1,1,2017-12-02T11:30:00Z,02 Dec 11:30,4,3,919041,2017-12-02T15:00:00Z,1,1,1,90,0,1,15,17,18
150,02 Dec 15:00,1,1,2017-12-02T11:30:00Z,02 Dec 11:30,2,2,919042,2017-12-02T15:00:00Z,0,0,1,90,0,1,15,6,19
151,09 Dec 15:00,1,1,2017-12-09T11:30:00Z,09 Dec 11:30,2,3,919043,2017-12-09T15:00:00Z,1,0,1,90,0,1,16,18,4
152,09 Dec 15:00,1,1,2017-12-09T11:30:00Z,09 Dec 11:30,3,3,919044,2017-12-09T15:00:00Z,2,2,1,90,0,1,16,2,6
153,09 Dec 15:00,1,1,2017-12-09T11:30:00Z,09 Dec 11:30,2,2,919045,2017-12-09T15:00:00Z,2,0,1,90,0,1,16,3,8
154,10 Dec 14:15,1,2,2017-12-09T11:30:00Z,09 Dec 11:30,2,4,919046,2017-12-10T14:15:00Z,1,1,1,90,0,1,16,7,10
155,10 Dec 16:30,1,2,2017-12-09T11:30:00Z,09 Dec 11:30,5,4,919047,2017-12-10T16:30:00Z,1,2,1,90,0,1,16,11,12
156,09 Dec 17:30,1,1,2017-12-09T11:30:00Z,09 Dec 11:30,3,3,919048,2017-12-09T17:30:00Z,2,3,1,90,0,1,16,9,13
157,09 Dec 15:00,1,1,2017-12-09T11:30:00Z,09 Dec 11:30,2,3,919050,2017-12-09T15:00:00Z,1,0,1,90,0,1,16,19,16
158,09 Dec 15:00,1,1,2017-12-09T11:30:00Z,09 Dec 11:30,2,4,919051,2017-12-09T15:00:00Z,5,1,1,90,0,1,16,15,17
